,index,count,mean,std,min,25%,50%,75%,max,IQR,UpperLimit,LowerLimit,type
6,site_outlier,26057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy_english
7,site_outlier_en,26057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy_english
8,global_outlier,26057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy_english
9,global_outlier_en,26057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy_english
0,productID,14524.0,8.728242908289728,3.7821119281233915,1.0,6.0,10.0,11.0,20.0,5.0,18.5,-1.5,site_target_english
1,review_star_rating,14524.0,4.474938033599559,1.0120760021224582,1.0,4.0,5.0,5.0,5.0,1.0,6.5,2.5,site_target_english
2,review_helpful_votes,14524.0,0.2601211787386395,1.768407331440821,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,site_target_english
3,review_subjectivity,14524.0,0.5881957834087435,0.19465242051427278,0.0,0.4785714285714286,0.6,0.7166666666666667,1.0,0.23809523809523808,1.0738095238095238,0.1214285714285715,site_target_english
4,review_polarity,14524.0,0.3402695883685507,0.2740037304601841,-1.0,0.17333333333333334,0.35138095238095235,0.51,1.0,0.33666666666666667,1.0150000000000001,-0.33166666666666667,site_target_english
5,review_length,14524.0,33.22693472872487,33.387976993539766,1.0,15.0,24.0,40.0,641.0,25.0,77.5,-22.5,site_target_english
6,site_outlier,14524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_target_english
7,site_outlier_en,14524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_target_english
8,global_outlier,14524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_target_english
9,global_outlier_en,14524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_target_english
